"trace_index","chisq","atomsA","atomsP"
1,164076592,5433,8364
2,137448368,8386,12254
3,132612840,9784,12471
4,130956704,10846,13383
5,130210376,11719,14353
6,129744160,12481,15101
7,129489464,13171,15839
8,129275696,13671,16477
9,129152112,14217,16671
10,129016672,14642,16998
11,128955224,14677,17213
12,128867416,15103,17677
13,128798488,15315,18129
14,128697240,15400,18660
15,128612784,15688,19063
16,128571504,15828,19340
17,128546312,16078,19695
18,128514688,16252,19819
19,128498560,16611,20155
20,128498496,16867,20300
21,128491472,16939,20443
22,128490128,17092,20552
23,128480464,17307,20847
24,128475960,17514,20906
25,128475552,17546,21016
26,128462976,17742,21207
27,128465928,17891,21173
28,128460912,18020,21456
29,128469296,18163,21612
30,128453152,18301,21752
31,128462736,18544,21734
32,128458840,18651,21935
33,128445624,18753,22057
34,128449400,18761,22128
35,128454848,18910,22339
36,128454976,19111,22478
37,128449376,19063,22503
38,128444648,19131,22631
39,128441472,19360,22773
40,128435312,19444,22712
41,128440376,19419,22793
42,128442224,19583,23008
43,128447248,19579,23088
44,128439240,19505,23039
45,128449872,19527,23163
46,128439016,19592,23034
47,128436672,19470,23110
48,128443472,19525,23160
49,128447816,19599,23098
50,128442304,19670,23101
51,128443648,19576,23150
52,128448288,19651,23209
53,128440776,19634,23223
54,128441136,19667,23250
55,128448200,19727,23287
56,128444664,19564,23323
57,128442728,19587,23391
58,128444872,19515,23401
59,128444912,19576,23414
60,128438704,19486,23394
61,128445072,19557,23328
62,128445552,19558,23400
63,128436376,19641,23392
64,128445528,19525,23475
65,128444416,19523,23362
66,128441840,19532,23307
67,128450184,19524,23393
68,128441176,19682,23461
69,128437448,19667,23517
70,128442328,19678,23352
71,128441312,19654,23303
72,128447928,19735,23363
73,128440088,19622,23435
74,128446072,19695,23383
75,128447984,19791,23282
76,128447224,19656,23406
77,128443560,19680,23429
78,128444016,19699,23413
79,128442224,19682,23445
80,128448160,19735,23409
81,128443696,19669,23366
82,128448328,19639,23422
83,128440312,19702,23488
84,128443616,19670,23349
85,128447360,19709,23366
86,128444664,19672,23411
87,128446472,19722,23377
88,128441664,19614,23302
89,128446384,19602,23367
90,128448912,19621,23317
91,128441464,19604,23250
92,128440448,19513,23270
93,128442128,19603,23293
94,128441472,19673,23360
95,128437064,19671,23387
96,128441984,19694,23378
97,128438528,19691,23366
98,128433584,19693,23299
99,128438240,19709,23317
100,128439928,19666,23295
101,128443728,19648,23402
102,128444136,19578,23264
103,128443904,19604,23275
104,128445536,19584,23319
105,128444072,19660,23372
106,128438352,19676,23343
107,128437640,19613,23350
108,128437440,19575,23457
109,128447504,19524,23518
110,128448096,19528,23442
111,128440760,19535,23480
112,128443872,19576,23411
113,128448352,19529,23489
114,128441928,19508,23379
115,128442776,19510,23396
116,128448360,19588,23256
117,128439360,19519,23293
118,128438848,19471,23242
119,128445288,19572,23292
120,128452864,19583,23265
121,128438872,19544,23311
122,128444064,19497,23319
123,128446448,19496,23346
124,128440312,19468,23314
125,128440928,19408,23432
126,128440872,19519,23461
127,128443688,19493,23462
128,128442128,19557,23442
129,128448464,19463,23398
130,128442440,19466,23374
131,128441152,19435,23381
132,128455464,19312,23281
133,128440216,19361,23405
134,128446400,19454,23370
135,128447400,19523,23385
136,128445400,19417,23415
137,128436848,19421,23364
138,128446312,19384,23406
139,128443976,19295,23306
140,128443200,19397,23334
141,128449224,19329,23330
142,128444776,19460,23307
143,128445216,19505,23408
144,128445784,19487,23343
145,128444688,19503,23344
146,128444576,19324,23307
147,128438728,19390,23155
148,128443800,19384,23118
149,128439784,19373,23115
150,128440600,19383,23193
151,128439360,19297,23192
152,128446016,19227,23188
153,128448784,19268,23127
154,128439464,19307,23089
155,128444736,19370,23226
156,128445216,19309,23282
157,128446136,19349,23103
158,128451040,19323,23114
159,128447016,19253,23205
160,128443536,19247,23237
