timepoint_merged,day_merged_numeric,broad_cell_type,n_cells,fraction
D0,0.0,B_cell,73,0.12166666666666667
D0,0.0,Monocyte,110,0.18333333333333332
D0,0.0,NK_cell,88,0.14666666666666667
D0,0.0,Neutrophil,3,0.005
D0,0.0,Plasmablast,2,0.0033333333333333335
D0,0.0,T_cell,324,0.54
D10,10.0,B_cell,46,0.07666666666666666
D10,10.0,Monocyte,117,0.195
D10,10.0,NK_cell,114,0.19
D10,10.0,Neutrophil,16,0.02666666666666667
D10,10.0,Plasmablast,6,0.01
D10,10.0,T_cell,301,0.5016666666666667
D14/15,14.5,B_cell,23,0.03833333333333333
D14/15,14.5,Monocyte,103,0.17166666666666666
D14/15,14.5,NK_cell,144,0.24
D14/15,14.5,Neutrophil,2,0.0033333333333333335
D14/15,14.5,Plasmablast,5,0.008333333333333333
D14/15,14.5,T_cell,323,0.5383333333333333
D2,2.0,B_cell,38,0.06333333333333334
D2,2.0,Monocyte,86,0.14333333333333334
D2,2.0,NK_cell,118,0.19666666666666666
D2,2.0,Neutrophil,5,0.008333333333333333
D2,2.0,Plasmablast,5,0.008333333333333333
D2,2.0,T_cell,348,0.58
D28,28.0,B_cell,56,0.09333333333333334
D28,28.0,Monocyte,83,0.13833333333333334
D28,28.0,NK_cell,106,0.17666666666666667
D28,28.0,Neutrophil,11,0.018333333333333333
D28,28.0,Plasmablast,1,0.0016666666666666668
D28,28.0,T_cell,343,0.5716666666666667
D4,4.0,B_cell,63,0.105
D4,4.0,Monocyte,72,0.12
D4,4.0,NK_cell,103,0.17166666666666666
D4,4.0,Neutrophil,10,0.016666666666666666
D4,4.0,Plasmablast,4,0.006666666666666667
D4,4.0,T_cell,348,0.58
D6,6.0,B_cell,61,0.10166666666666667
D6,6.0,Monocyte,64,0.10666666666666667
D6,6.0,NK_cell,110,0.18333333333333332
D6,6.0,Neutrophil,12,0.02
D6,6.0,Plasmablast,6,0.01
D6,6.0,T_cell,347,0.5783333333333334
D8,8.0,B_cell,60,0.1
D8,8.0,Monocyte,88,0.14666666666666667
D8,8.0,NK_cell,105,0.175
D8,8.0,Neutrophil,8,0.013333333333333334
D8,8.0,Plasmablast,4,0.006666666666666667
D8,8.0,T_cell,335,0.5583333333333333
