pattern,D0,D2,D4,D6,D8,D10,D14/15,D28
Pattern1,0.1665044393137265,0.1836186821591462,0.1404885730867198,0.1860923032434254,0.1720499217567438,0.1340598970023288,0.1069193196903571,0.1730838412674039
Pattern2,0.0756704179544074,0.0525328063476459,0.0409366682921737,0.0402228987099738,0.0453883901247157,0.0600172566095587,0.044123939577032,0.039496179080454
Pattern3,0.0261448983271701,0.0231276597016464,0.0184077934628967,0.0208911861932056,0.0324315410066944,0.2114563584155655,0.1931431943630612,0.0289487450759575
Pattern4,0.1272438415891753,0.1522799498315756,0.1346611672468321,0.1555783864069585,0.13705286880686,0.1161017686352505,0.1683265105065136,0.1454310736004839
Pattern5,0.1197345303725117,0.1094849651622525,0.0950289100675383,0.1124608870185861,0.1075513921055084,0.0868756669397299,0.1541113885383369,0.0785365197931291
Pattern6,0.1647767331592262,0.1785803475351583,0.1793997450352679,0.1678430938996874,0.1729193186823155,0.1498283656528145,0.1574641437747152,0.1797538037054954
Pattern7,0.2648777699652972,0.2756050331223923,0.2795350359122812,0.2551301091547119,0.2589010138099093,0.2278101861367714,0.2902946832250804,0.2350203788926851
Pattern8,0.0747906307786022,0.0637471904697382,0.0570063654976669,0.050443830270778,0.070819755034612,0.0801583864257761,0.0842674787271557,0.0648474072746096
Pattern9,0.1026893247395264,0.1352323388535517,0.1259922766741631,0.1359853522570549,0.136793055913334,0.1511985964818627,0.1871791702712337,0.1286203919494131
Pattern10,0.1093055884102873,0.0685577697902008,0.0943031190988359,0.0915269988215982,0.0859977660547178,0.0734541804363669,0.0421678265924206,0.0820219551790037
