pattern,T_cell,NK_cell,Monocyte,B_cell,Neutrophil,Plasmablast
Pattern1,0.2034051762062269,0.1158180115081194,0.0872065538280397,0.0491008718427577,0.0054148659605697,0.1062080957065148
Pattern2,0.0034826111082115,0.009255795995919,0.3670685764685653,0.0116631089584654,0.0052902385209559,0.0402742478007035
Pattern3,0.048225883529451,0.0964083732648603,0.1615348671710199,0.0304411069766837,0.0042242538112841,0.0463257090045109
Pattern4,0.1392572253174986,0.2972596789064231,0.0807108137615529,0.1219639379057269,0.013209057501388,0.0847095835956733
Pattern5,0.0857348743970885,0.1179455241337783,0.1845953951819349,0.1254243329104141,0.03834938206298,0.6805824383196456
Pattern6,0.251094217407069,0.1627179974505695,0.0293750262483008,0.11281201538236,0.0046250012947677,0.0535869516145983
Pattern7,0.4138566833409641,0.0349748128662563,0.0220121727829725,0.0363247914315676,0.0430634854811629,0.0048848850822772
Pattern8,0.002822537265053,0.0050386199739547,0.3621401607377663,0.0109562014001891,0.014584025622581,0.0833966562881027
Pattern9,0.0469551738602944,0.5271271560994432,0.0178494615900122,0.0263054750539526,0.0071122428170455,0.0526009884865667
Pattern10,0.012146098616404,0.016690605627042,0.0626821304379937,0.6598017384740619,0.0054192937694963,0.3636458133588786
