gene_label,D2,D4,D6,D8,D10,D14/15,D28
01. LY6E,0.0528748660611431,-0.1958821878738632,-0.1440877354246156,0.2528457398493569,2.4999651221107033,2.3003393232660065,0.4800099149328662
02. ISG15,-0.2469974900749232,-0.4176313653946151,-0.2071661894326479,0.1551799943115647,3.1277056894680797,2.9701424376652668,0.3922039154660955
03. IFITM1,0.1830153188597432,0.0529680373212322,0.0873650099500835,0.2775626418651586,1.9729023834651471,2.0398862747692803,0.3667186520695503
04. IFITM2,0.162532938129844,-0.1797066381500022,-0.0356062320032547,0.0576645071882128,1.199170219074248,1.4142361417510727,0.3159281863465638
05. IFI6,-0.0308726270901852,-0.3515656796398065,-0.2044117745752753,0.333647988890869,3.805597504940635,2.801260640906213,0.4558603344657748
06. IFITM3,0.0790522983565438,-0.3279364411962818,-0.2057003425909253,0.1332974752055301,2.3865113502252555,2.1643638667711262,0.3339545821683784
07. MX1,-0.2735491263713436,-0.6030360979310672,-0.376469851244629,0.0394416210955984,2.319718479473517,2.133990735792443,-0.4896792952622719
08. PSME2,0.0405443964412833,-0.1484071651315703,-0.0773523346641168,0.1442297825319549,1.2296741384860674,1.56190153824974,0.2776402982008991
09. IRF7,-0.1508585259386098,-0.4780275151914995,-0.1357767500948619,-0.0341492669311881,1.799572416604592,1.6075073962545818,0.0144969063409519
10. XAF1,-0.1621904216161039,-0.5759074954588627,-0.4152125205303152,-0.0822460749190184,2.936669014897697,2.835450104910864,0.2666094056961012
11. HLA-A,0.0511928834562554,-0.0449749663782625,0.082087209682245,0.1106055295114808,0.3050032521915338,0.6141051098722166,0.1062259116797168
12. MT2A,0.0838130462778199,-0.1176728679291911,0.070069462804468,0.1333465334459654,1.3935664539852286,1.5213253083008087,0.1874156465019201
13. B2M,0.059720514140432,-0.0220056829678044,0.0575797762316903,0.102964360778456,0.3708457198518224,0.5235944510458767,0.1669573313059936
14. MYL12A,0.0079128740295673,-0.0102915541579916,-0.0593862461477137,0.0562596616632043,0.487075073841438,0.9151378166422284,0.2570135615265627
15. IFI44L,-0.0963397535351206,-0.8112475957586507,-0.5577072614426224,0.2821747007986849,4.324887406890519,3.794397535494061,0.7530914803938984
16. CD74,-0.172726173865529,-0.1386977126780249,-0.0975679506484367,-0.064857959974289,-0.109805863754729,-0.3839386433971435,0.0565468376042955
17. PFN1,-0.0230401323111302,-0.1179532564233962,-0.0793804670527175,-0.0106785946212646,0.0769227318248517,0.5840833593183952,0.094689714541321
18. TMSB10,0.0383742414654134,-0.0055364468843948,-0.0214500328583397,0.0137063423721007,0.3470670967689499,0.4633160366502811,0.1493361096355983
19. UBC,0.0740144398386532,-0.0623511873894955,0.1058064541200813,0.2177942723907756,0.2593074777065863,0.4817240392003263,0.2349377599446646
20. HLA-B,0.0422759177327722,-0.08003224503041,0.0172519546375742,0.0420570508064776,0.2497199645742919,0.4845419180875503,0.074438156133907
21. IFIT3,-0.4196866677209903,-1.1058427164077145,-0.7747353740746488,0.1734460037535012,3.1897330422066346,3.4973043300144315,-0.8396378718488977
22. OAS1,-0.3731700006300575,-0.9860907082796104,-0.6158508163655663,-0.4167701212380376,2.1614656247065422,2.037022555128823,-0.4850483289628539
23. TYMP,-0.1809341968944832,-0.5414345113400895,-0.4242965977374761,-0.3607890520703363,1.4572553175008096,1.0512837502799808,0.0299038931290418
24. EPSTI1,-0.2341362799598636,-0.4723785819486199,-0.4028545750674628,0.0514438201226887,2.4123929232526105,2.394754824492769,0.022157336757823
25. SAT1,-0.1276599551283782,-0.5082899359163745,-0.3426422797357418,-0.3474581322833892,0.4847924528683407,0.305616391805259,0.1406053414194072
