pattern,kruskal_time_stat,kruskal_time_p,eta_timepoint,eta_broad_cell_type,pattern_class,spearman_ifn_score_rho,spearman_ifn_score_p,peak_timepoint,ifn_top_gene_overlap_top15,candidate_ifn_pattern,kruskal_time_p_adj,ifn_score_p_adj,subject_peak_timepoint,subject_peak_day,subject_peak_score,subject_score_range,subject_mean_D0,subject_mean_D8,subject_mean_D10,subject_mean_D14_15,subject_mean_D28,D10_minus_D0,D14_15_minus_D0,dominant_broad_cell_type,dominant_broad_cell_type_mean,dominant_broad_cell_type_n_cells,top_10_genes,top_15_genes,top_25_genes,eta_time_to_cell_ratio,observed_label,interpretation_note
Pattern1,77.2062264439006,5.10682809529722e-14,0.0194995106417388,0.163340379701848,identity-like,-0.074088138126735,2.7664122783886e-07,D6,0,False,1.2767070238242999e-13,3.07379142043178e-07,D6,6.0,0.18609230324342543,0.07917298355306826,0.16650443931372652,0.17204992175674386,0.13405989700232887,0.10691931969035717,0.17308384126740392,-0.03244454231139765,-0.05958511962336935,T_cell,0.20340517620622692,2669,"VIM, FTH1, EEF1A1, B2M, MT-CO2, MT-CO1, MT-ATP6, MT-CYB, RPS12, MT-CO3","VIM, FTH1, EEF1A1, B2M, MT-CO2, MT-CO1, MT-ATP6, MT-CYB, RPS12, MT-CO3, MALAT1, ANXA1, MT-ND3, TMSB4X, HLA-B","VIM, FTH1, EEF1A1, B2M, MT-CO2, MT-CO1, MT-ATP6, MT-CYB, RPS12, MT-CO3, MALAT1, ANXA1, MT-ND3, TMSB4X, HLA-B, S100A10, TAGLN2, GAPDH, RPS8, PTMA, SRGN, S100A11, MT-ND4L, SH3BGRL3, LMNA",0.11937960887156053,T_cell identity/composition-associated program,Interpreted mainly as identity/composition-associated until stratified analyses show otherwise.
Pattern2,127.865451695363,1.7544738650739002e-24,0.0061994783660386,0.499898963394282,identity-like,-0.150858642749624,7.829939993456369e-26,D0,0,False,5.84824621691301e-24,1.9574849983640902e-25,D0,0.0,0.07567041795440747,0.036174238873953414,0.07567041795440747,0.04538839012471574,0.060017256609558735,0.044123939577032055,0.03949617908045406,-0.01565316134484874,-0.03154647837737542,Monocyte,0.36706857646856533,723,"FTH1, VIM, FTL, MALAT1, MT-CO1, SAT1, NEAT1, S100A6, MT-CO2, MT-CO3","FTH1, VIM, FTL, MALAT1, MT-CO1, SAT1, NEAT1, S100A6, MT-CO2, MT-CO3, TYROBP, CD74, SRGN, EEF1A1, S100A10","FTH1, VIM, FTL, MALAT1, MT-CO1, SAT1, NEAT1, S100A6, MT-CO2, MT-CO3, TYROBP, CD74, SRGN, EEF1A1, S100A10, LYZ, B2M, TMSB10, ACTB, MT-ATP6, MT-ND4, MT-ND2, CST3, TMSB4X, S100A11",0.01240146273547866,Monocyte identity/composition-associated program,Interpreted mainly as identity/composition-associated until stratified analyses show otherwise.
Pattern3,2121.29496807925,0.0,0.454036194393983,0.164629605915765,activity-like,0.75600666168997,0.0,D10,6,True,0.0,0.0,D10,10.0,0.21145635841556554,0.19304856495266884,0.026144898327170107,0.0324315410066944,0.21145635841556554,0.19314319436306124,0.028948745075957516,0.18531146008839544,0.16699829603589114,Monocyte,0.16153486717101992,723,"LY6E, ISG15, IFITM1, IFITM2, IFI6, IFITM3, MX1, PSME2, IRF7, XAF1","LY6E, ISG15, IFITM1, IFITM2, IFI6, IFITM3, MX1, PSME2, IRF7, XAF1, HLA-A, MT2A, B2M, MYL12A, IFI44L","LY6E, ISG15, IFITM1, IFITM2, IFI6, IFITM3, MX1, PSME2, IRF7, XAF1, HLA-A, MT2A, B2M, MYL12A, IFI44L, CD74, PFN1, TMSB10, UBC, HLA-B, IFIT3, OAS1, TYMP, EPSTI1, SAT1",2.757925537562769,IFN-associated temporal activity program,"Primary IFN-associated K=10 program; high temporal effect, positive IFN score correlation, and peak usage at the late acute timepoints."
Pattern4,66.6257952120498,7.08202325201104e-12,0.0098125518731666,0.0469644200389067,identity-like,-0.0877535662757487,1.1297225190261102e-09,D14/15,0,False,1.1803372086685099e-11,1.8828708650435103e-09,D14/15,14.5,0.1683265105065136,0.05222474187126308,0.12724384158917532,0.13705286880686007,0.11610176863525051,0.1683265105065136,0.14543107360048393,-0.011142072953924803,0.04108266891733828,NK_cell,0.2972596789064231,888,"TNFAIP3, H3F3B, FTH1, MALAT1, NFKBIA, SRGN, ZFP36, PTMA, NR4A2, MYADM","TNFAIP3, H3F3B, FTH1, MALAT1, NFKBIA, SRGN, ZFP36, PTMA, NR4A2, MYADM, MT-CO1, EEF1A1, REL, TSC22D3, CREM","TNFAIP3, H3F3B, FTH1, MALAT1, NFKBIA, SRGN, ZFP36, PTMA, NR4A2, MYADM, MT-CO1, EEF1A1, REL, TSC22D3, CREM, JUNB, KDM6B, MCL1, HLA-B, B2M, RPS12, CD69, HLA-A, DUSP2, CXCR4",0.20893586815375548,NK_cell identity/composition-associated program,Interpreted mainly as identity/composition-associated until stratified analyses show otherwise.
Pattern5,159.291806619488,4.52094220879917e-31,0.020907301802552,0.159814675634815,identity-like,-0.0117378046950792,0.41619789481657,D14/15,0,False,2.2604711043995796e-30,0.41619789481657,D14/15,14.5,0.1541113885383369,0.07557486874520777,0.11973453037251176,0.10755139210550842,0.08687566693972994,0.1541113885383369,0.07853651979312912,-0.032858863432781826,0.03437685816582513,Plasmablast,0.6805824383196456,33,"ACTG1, GAPDH, LDHB, ARPC1B, COX5A, C1QBP, NAP1L1, ATP5G3, PPIB, H2AFY","ACTG1, GAPDH, LDHB, ARPC1B, COX5A, C1QBP, NAP1L1, ATP5G3, PPIB, H2AFY, COX8A, SET, TXN, IDH2, UCP2","ACTG1, GAPDH, LDHB, ARPC1B, COX5A, C1QBP, NAP1L1, ATP5G3, PPIB, H2AFY, COX8A, SET, TXN, IDH2, UCP2, OSTC, MIF, CLIC1, MZT2B, PPM1G, PDIA6, DUT, SNX3, NDUFB3, GNG5",0.1308221646072498,Plasmablast identity/composition-associated program,Interpreted mainly as identity/composition-associated until stratified analyses show otherwise.
Pattern6,30.1892175622418,8.76626037602722e-05,0.0019435104142441,0.16558707210451,identity-like,0.0786828398064539,4.80577265015883e-08,D28,0,False,0.0001095782547003,6.00721581269853e-08,D28,28.0,0.17975380370549546,0.029925438052680886,0.1647767331592262,0.17291931868231555,0.14982836565281457,0.15746414377471524,0.17975380370549546,-0.014948367506411625,-0.007312589384510959,T_cell,0.251094217407069,2669,"EEF1A1, MTRNR2L8, RPS12, CD52, B2M, MALAT1, ACTB, TMSB4X, RPS8, HLA-B","EEF1A1, MTRNR2L8, RPS12, CD52, B2M, MALAT1, ACTB, TMSB4X, RPS8, HLA-B, MT-ATP6, JUNB, HLA-A, TMSB10, MT-CO2","EEF1A1, MTRNR2L8, RPS12, CD52, B2M, MALAT1, ACTB, TMSB4X, RPS8, HLA-B, MT-ATP6, JUNB, HLA-A, TMSB10, MT-CO2, RPLP0, RPS2, MT-CO1, IL32, MT-CYB, MT-ND3, FOS, MT-CO3, JUN, MT-ND4L",0.011737090278505901,T_cell identity/composition-associated program,Interpreted mainly as identity/composition-associated until stratified analyses show otherwise.
Pattern7,21.2967970152302,0.0033548336622783,0.0051128933425158,0.549712893250446,identity-like,-0.085419574878381,3.07888771994212e-09,D14/15,0,False,0.003727592958087,4.398411028488751e-09,D14/15,14.5,0.29029468322508045,0.06248449708830897,0.2648777699652972,0.2589010138099093,0.22781018613677148,0.29029468322508045,0.23502037889268515,-0.037067583828525735,0.025416913259783236,T_cell,0.4138566833409641,2669,"MALAT1, EEF1A1, RPS12, RPS8, MT-CO2, B2M, MT-CO3, MT-ATP6, MT-CO1, MT-ND3","MALAT1, EEF1A1, RPS12, RPS8, MT-CO2, B2M, MT-CO3, MT-ATP6, MT-CO1, MT-ND3, MT-ND4L, RPLP0, TMSB4X, MT-CYB, RPS2","MALAT1, EEF1A1, RPS12, RPS8, MT-CO2, B2M, MT-CO3, MT-ATP6, MT-CO1, MT-ND3, MT-ND4L, RPLP0, TMSB4X, MT-CYB, RPS2, TMSB10, AC090498.1, FTH1, PTMA, HLA-B, HLA-A, MT-ND1, CCR7, MT-ND4, VIM",0.009301024962837091,T_cell identity/composition-associated program,Interpreted mainly as identity/composition-associated until stratified analyses show otherwise.
Pattern8,58.5259051918483,2.97071517735307e-10,0.0032165246715232,0.642289174585567,identity-like,-0.14916520053419,2.75491594268021e-25,D14/15,0,False,4.24387882479011e-10,5.50983188536043e-25,D14/15,14.5,0.08426747872715575,0.03382364845637766,0.07479063077860222,0.07081975503461208,0.0801583864257761,0.08426747872715575,0.06484740727460961,0.005367755647173872,0.009476847948553524,Monocyte,0.3621401607377663,723,"FTL, CST3, FTH1, ACTB, TMSB4X, TYROBP, EEF1A1, S100A6, MT-CO1, S100A4","FTL, CST3, FTH1, ACTB, TMSB4X, TYROBP, EEF1A1, S100A6, MT-CO1, S100A4, LYZ, MT-CO2, TMSB10, MALAT1, CD74","FTL, CST3, FTH1, ACTB, TMSB4X, TYROBP, EEF1A1, S100A6, MT-CO1, S100A4, LYZ, MT-CO2, TMSB10, MALAT1, CD74, B2M, MT-ND3, MT-CO3, FOS, HLA-B, MT-ATP6, MT-ND1, SH3BGRL3, PSAP, RPS12",0.005007907339554091,Monocyte identity/composition-associated program,Interpreted mainly as identity/composition-associated until stratified analyses show otherwise.
Pattern9,13.7365051870331,0.0560713047725476,0.0092421576728893,0.779860868323658,identity-like,0.203614527233417,4.31221982941732e-46,D14/15,0,False,0.0560713047725476,2.15610991470866e-45,D14/15,14.5,0.18717917027123376,0.08448984553170731,0.10268932473952645,0.13679305591333404,0.15119859648186276,0.18717917027123376,0.12862039194941313,0.04850927174233631,0.08448984553170731,NK_cell,0.5271271560994432,888,"NKG7, B2M, MT-CO2, CST7, CCL5, MALAT1, MT-CO1, TMSB4X, HLA-B, EEF1A1","NKG7, B2M, MT-CO2, CST7, CCL5, MALAT1, MT-CO1, TMSB4X, HLA-B, EEF1A1, MT-ATP6, HLA-A, MT-CO3, ACTB, PFN1","NKG7, B2M, MT-CO2, CST7, CCL5, MALAT1, MT-CO1, TMSB4X, HLA-B, EEF1A1, MT-ATP6, HLA-A, MT-CO3, ACTB, PFN1, MT-ND4L, TMSB10, MT-ND3, RPS12, SH3BGRL3, GNLY, IFITM1, MT-CYB, CTSW, HCST",0.011851034009124841,NK_cell identity/composition-associated program,Interpreted mainly as identity/composition-associated until stratified analyses show otherwise.
Pattern10,72.4060397242299,4.81604629539494e-13,0.0094104503118075,0.911549622004823,identity-like,-0.174733943817074,3.23631433269632e-34,D0,0,False,9.63209259078988e-13,1.07877144423211e-33,D0,0.0,0.1093055884102873,0.0671377618178667,0.1093055884102873,0.08599776605471783,0.07345418043636696,0.042167826592420604,0.08202195517900375,-0.035851407973920335,-0.0671377618178667,B_cell,0.6598017384740619,420,"CD74, EEF1A1, MALAT1, HLA-DRA, MT-CO2, MT-CO1, HLA-DRB1, RPS8, RPS12, MT-ATP6","CD74, EEF1A1, MALAT1, HLA-DRA, MT-CO2, MT-CO1, HLA-DRB1, RPS8, RPS12, MT-ATP6, MT-CO3, MT-ND3, MT-ND4L, B2M, MT-CYB","CD74, EEF1A1, MALAT1, HLA-DRA, MT-CO2, MT-CO1, HLA-DRB1, RPS8, RPS12, MT-ATP6, MT-CO3, MT-ND3, MT-ND4L, B2M, MT-CYB, HLA-DPB1, HLA-DPA1, HLA-B, PTMA, RPS2, RPLP0, MT-ND1, TMSB10, HLA-DRB5, MT-ND4",0.010323574366813472,B_cell identity/composition-associated program,Interpreted mainly as identity/composition-associated until stratified analyses show otherwise.
