pattern,eta_timepoint,eta_broad_cell_type,pattern_class,spearman_ifn_score_rho,peak_timepoint,ifn_top_gene_overlap_top15,candidate_ifn_pattern
Pattern5,0.4613101103253337,0.1605361871957666,activity-like,0.7567624276598833,D10,6,True
Pattern10,0.0209663543844524,0.1636453490258986,identity-like,-0.0071526161011006,D14/15,0,False
Pattern3,0.0194698437499019,0.1638347557221444,identity-like,-0.0753747022049301,D6,0,False
Pattern9,0.0096000372011794,0.0485364207740057,identity-like,-0.0905542586223889,D14/15,0,False
Pattern8,0.0094257839315136,0.9113043721651268,identity-like,-0.1714551159969483,D0,0,False
Pattern7,0.0093402498582521,0.7794971432466422,identity-like,0.2063501729764954,D14/15,0,False
Pattern6,0.0061674935501559,0.4982876315521515,identity-like,-0.1469911724760173,D0,0,False
Pattern4,0.0051737925366358,0.5483056070754171,identity-like,-0.0862367383074922,D14/15,0,False
Pattern2,0.003394012464349,0.6451086041741582,identity-like,-0.1356531918959113,D14/15,0,False
Pattern1,0.0019240769300343,0.1637984455112518,identity-like,0.075106092699343,D28,0,False
