,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5,Pattern6,Pattern7,Pattern8,Pattern9,Pattern10
Pattern1,1.0,0.0404560946603845,-0.06537761025734534,0.2399524838757783,0.06087059655509947,-0.20063226250332603,0.1908576213719359,-0.19762688771991194,0.020120764281477153,-0.1092629681170301
Pattern2,0.0404560946603845,0.9999999999999999,0.012915720247715923,0.033232130585274265,0.21217593817689784,-0.3233939448945667,-0.19751921989103813,0.4212636237339954,-0.16258432978942475,0.10730292908464707
Pattern3,-0.06537761025734533,0.012915720247715921,1.0,-0.07575501951008246,0.24253967097539103,-0.038070396292258106,-0.08794074401276195,0.01114052323044038,0.07592909509249515,-0.09528559513177814
Pattern4,0.2399524838757783,0.033232130585274265,-0.07575501951008246,1.0,0.038955688426359984,-0.42210846956467785,0.1424905716465574,-0.23588232350522312,-0.029204626841873676,-0.05711653619582878
Pattern5,0.06087059655509948,0.21217593817689784,0.24253967097539103,0.038955688426359984,1.0,-0.025037746557745565,-0.040906326872157533,0.16854201667708507,0.00026641280644693733,0.026893461978899
Pattern6,-0.200632262503326,-0.3233939448945667,-0.038070396292258106,-0.42210846956467785,-0.025037746557745565,0.9999999999999999,-0.05943677458780174,-0.00037333207242992803,0.2943207421978264,-0.16471381341186528
Pattern7,0.1908576213719359,-0.1975192198910381,-0.08794074401276195,0.1424905716465574,-0.040906326872157533,-0.05943677458780174,1.0,-0.31386818986937115,-0.2934915591487593,-0.29788799034920355
Pattern8,-0.19762688771991194,0.42126362373399534,0.01114052323044038,-0.23588232350522312,0.16854201667708507,-0.0003733320724299281,-0.31386818986937115,0.9999999999999999,-0.0871295422844708,0.16014159386575438
Pattern9,0.020120764281477157,-0.16258432978942478,0.07592909509249515,-0.029204626841873676,0.0002664128064469374,0.2943207421978264,-0.2934915591487593,-0.0871295422844708,1.0,-0.08913438444515816
Pattern10,-0.1092629681170301,0.10730292908464706,-0.09528559513177814,-0.057116536195828786,0.026893461978898997,-0.16471381341186528,-0.29788799034920355,0.16014159386575438,-0.08913438444515816,1.0
