"pattern","eta_timepoint","eta_broad_cell_type","pattern_class","peak_timepoint"
"Pattern3",0.454036194393983,0.164629605915765,"activity-like","D10"
"Pattern5",0.020907301802552,0.159814675634815,"identity-like","D14/15"
"Pattern1",0.0194995106417388,0.163340379701848,"identity-like","D6"
"Pattern4",0.00981255187316661,0.0469644200389067,"identity-like","D14/15"
"Pattern10",0.00941045031180752,0.911549622004823,"identity-like","D0"
"Pattern9",0.0092421576728893,0.779860868323658,"identity-like","D14/15"
"Pattern2",0.00619947836603865,0.499898963394282,"identity-like","D0"
"Pattern7",0.00511289334251585,0.549712893250446,"identity-like","D14/15"
"Pattern8",0.00321652467152328,0.642289174585567,"identity-like","D14/15"
"Pattern6",0.00194351041424414,0.16558707210451,"identity-like","D28"
