"pattern","kruskal_time_stat","kruskal_time_p","eta_timepoint","eta_broad_cell_type","pattern_class","spearman_ifn_score_rho","spearman_ifn_score_p","peak_timepoint","ifn_top_gene_overlap_top15","candidate_ifn_pattern","kruskal_time_p_adj","ifn_score_p_adj"
"Pattern3",2121.29496807925,0,0.454036194393983,0.164629605915765,"activity-like",0.75600666168997,0,"D10",6,TRUE,0,0
"Pattern5",159.291806619488,4.52094220879917e-31,0.020907301802552,0.159814675634815,"identity-like",-0.0117378046950792,0.41619789481657,"D14/15",0,FALSE,2.26047110439958e-30,0.41619789481657
"Pattern1",77.2062264439006,5.10682809529722e-14,0.0194995106417388,0.163340379701848,"identity-like",-0.074088138126735,2.7664122783886e-07,"D6",0,FALSE,1.2767070238243e-13,3.07379142043178e-07
"Pattern4",66.6257952120498,7.08202325201104e-12,0.00981255187316661,0.0469644200389067,"identity-like",-0.0877535662757487,1.12972251902611e-09,"D14/15",0,FALSE,1.18033720866851e-11,1.88287086504351e-09
"Pattern10",72.4060397242299,4.81604629539494e-13,0.00941045031180752,0.911549622004823,"identity-like",-0.174733943817074,3.23631433269632e-34,"D0",0,FALSE,9.63209259078988e-13,1.07877144423211e-33
"Pattern9",13.7365051870331,0.0560713047725476,0.0092421576728893,0.779860868323658,"identity-like",0.203614527233417,4.31221982941732e-46,"D14/15",0,FALSE,0.0560713047725476,2.15610991470866e-45
"Pattern2",127.865451695363,1.7544738650739e-24,0.00619947836603865,0.499898963394282,"identity-like",-0.150858642749624,7.82993999345637e-26,"D0",0,FALSE,5.84824621691301e-24,1.95748499836409e-25
"Pattern7",21.2967970152302,0.00335483366227834,0.00511289334251585,0.549712893250446,"identity-like",-0.085419574878381,3.07888771994212e-09,"D14/15",0,FALSE,0.00372759295808705,4.39841102848875e-09
"Pattern8",58.5259051918483,2.97071517735307e-10,0.00321652467152328,0.642289174585567,"identity-like",-0.14916520053419,2.75491594268021e-25,"D14/15",0,FALSE,4.24387882479011e-10,5.50983188536043e-25
"Pattern6",30.1892175622418,8.76626037602722e-05,0.00194351041424414,0.16558707210451,"identity-like",0.0786828398064539,4.80577265015883e-08,"D28",0,FALSE,0.00010957825470034,6.00721581269853e-08
